quaycode,quayname,quaystatus,transportmode,lat,lon,visuallyaccessible,disabledaccessible,compassdirection,validfrom,quayshapetype,baylength,markedkerb,lift,guidelines,groundsurfaceindicator,stopplaceaccessroute,mutationdate,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,tactilegroundsurfaceindicator,ramp,heightwithenvironment,bayentranceangles,ramplength,rampwidth,embaymentwidth,bayexitangles
NL:Q:30009502,Nieuwmarkt,available,metro,52.37191358092526,4.901309253949791,true,true,10,2020-05-24T22:00:00Z,langshalte,120,true,true,false,false,true,2020-11-08T17:59:03Z,0.9,0.01,3,0.01,3,false,false,false,false,0,,,,,
NL:Q:30009503,Nieuwmarkt,available,metro,52.3719402414736,4.90123554082573,true,true,190,2020-05-24T22:00:00Z,langshalte,120,true,true,false,false,true,2020-11-08T17:59:32Z,0.9,0.01,3,0.01,3,false,false,false,false,0,,,,,
NL:Q:30001008,Wognumerplantsoen,available,bus,52.3875958440272,4.949377262862812,false,false,150,2020-05-24T22:00:00Z,langshalte,20,true,false,false,false,true,2021-01-08T13:34:25Z,0.01,2.89,2.93,16.25,1.3,false,false,false,false,0,,,,,
NL:Q:30001009,Wognumerplantsoen,available,bus,52.387470673077914,4.949554770797544,false,false,331,2020-05-24T22:00:00Z,langshalte,20,true,false,false,false,true,2021-01-08T13:34:25Z,0.01,3,3,20,1.8,false,false,false,false,0,,,,,
NL:Q:30001119,Hamerstraat,available,bus,52.386271998807,4.922729942852855,false,false,46,2020-05-24T22:00:00Z,semi-haltehaven,35.63,true,false,false,false,true,2021-01-08T13:34:25Z,0.14,3.8,3.8,35,0.34,false,false,false,false,0.07,,,1.5,2.62,7.37
NL:Q:30001121,Hamerstraat,available,bus,52.38600409325139,4.920881955113925,true,false,258,2020-05-24T22:00:00Z,haltehaven,14.6,true,false,true,true,true,2021-01-08T13:34:25Z,0.14,3,3,14.6,0.8,true,true,false,false,0.07,10,,1.5,2.7,9.5
NL:Q:30001435,P.A. van Heijningestraat,available,bus,52.42210172241441,4.899376791089077,false,true,271,2020-05-24T22:00:00Z,langshalte,30.5,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.7,3.6,29,1,false,false,false,true,0.2,,2,2,,
NL:Q:30001436,P.A. van Heijningestraat,available,bus,52.42206734666419,4.899759391389481,false,true,91,2020-05-24T22:00:00Z,langshalte,34,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,3,3.6,29,1.3,false,false,false,true,0.14,,2,1.5,,
NL:Q:30004043,Ruimzicht,available,tram,52.359789441372506,4.807532612631929,true,true,331,2020-05-24T22:00:00Z,langshalte,92.05,true,false,true,false,true,2021-01-08T13:34:25Z,0.2,3.2,3.2,82.05,1.2,true,true,false,true,-2,,9,2,,
NL:Q:30004040,Ruimzicht,available,bus,52.35951924975245,4.807418701562512,false,false,152,2020-05-24T22:00:00Z,haltehaven,32.53,true,false,false,false,true,2021-02-25T11:33:45Z,0.14,2.2,2.2,32.5,2.2,false,false,false,false,0,7.91,,,2.98,7.91
NL:Q:30004041,Ruimzicht,available,bus,52.3598171937574,4.807693733187781,true,true,324,2020-05-24T22:00:00Z,haltehaven,30,true,false,true,true,true,2021-02-25T11:33:45Z,0.2,1.7,2.1,28.4,1.7,true,true,true,true,0,11,2,1.3,2.58,6.98
NL:Q:30004042,Ruimzicht,outofuse,tram,52.35951996876088,4.807565494079011,true,false,152,2019-03-14T00:00:00Z,langshalte,92.05,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.2,1.2,82.05,1.2,true,true,true,true,0.22,,9,2,,
NL:Q:30009068,Maasstraat,available,tram,52.342898845403276,4.896388069744903,false,false,70,2019-03-14T00:00:00Z,langshalte,58,false,false,false,false,false,2021-01-08T13:34:25Z,0.1,0.9,1.2,58,0.9,false,false,false,false,0,,,,,
NL:Q:30009069,Maasstraat,available,tram,52.34316166853896,4.896913452231819,false,false,250,2018-11-15T00:00:00Z,langshalte,56,false,false,false,false,false,2021-01-08T13:34:25Z,0.1,1.2,1.2,56,0.6,false,false,false,false,0,,,,,
NL:Q:30009530,Gein,available,metro,52.29639246302392,4.988668265421776,true,false,268,2020-05-24T22:00:00Z,langshalte,130,true,true,true,false,true,2021-02-25T11:33:45Z,0.9,0.01,3.1,130,3.1,true,true,false,false,4.5,,,3,,
NL:Q:30009531,Gein,available,metro,52.29628481035912,4.988727867081245,true,false,271,2020-05-24T22:00:00Z,langshalte,120,true,true,true,false,true,2021-02-25T11:33:45Z,0.9,0.01,3.1,0.01,3.1,false,true,false,false,0,,,,,
NL:Q:30009923,Hempontplein,available,ferry,52.418087167660914,4.82689344835993,false,false,0,2020-05-24T22:00:00Z,haltehaven,10,false,false,false,false,true,2021-02-25T11:33:45Z,0.01,1.8,1.8,10,1.8,false,false,false,true,1.2,10,11,1.8,3,10
NL:Q:30001080,Markengouw,available,bus,52.399221030087155,4.952950406714029,false,false,219,2020-05-24T22:00:00Z,langshalte,7,true,false,false,false,true,2021-01-08T13:34:25Z,0.08,6,6,8,6,false,false,false,false,0,,,1.8,,
